,method_name,fSymbolTable,fLastSchemaWasDuplicate,fStAXSchemaParser,fSchemaParser,referType,reset,getSchemaDocument0,getSchemaDocument1,fNamespaceGrowth,createGrammarFrom,findGrammar,updateImportList,getGrammar,addImportList,findDependentNamespaces,expandRelatedAttributeComponents,addNamespaceDependency,expandRelatedParticleComponents,GENERATE_SYNTHETIC_ANNOTATIONS,null2EmptyString,equals,fLocationPairs,EMPTY_TABLE,fEntityResolver,reportSchemaError,reportSchemaWarning,referNS,hashCode,addGrammars,existingGrammars,addGlobalComponents,expandComponents,canAddComponents,expandGrammars,fTolerateDuplicates,addGlobalAttributeDecl,getGlobalAttributeDecl,reportSharingError,fGrammarBucket,expandRelatedComplexTypeComponents,expandRelatedSimpleTypeComponents,fInitialGrammarSet,addGlobalGroupDecl,getGlobalGroupDecl,expandRelatedModelGroupComponents,addRelatedElement,fHonourAllSchemaLocations,fValidateAnnotations,STANDARD_URI_CONFORMANT_FEATURE,fGrammarPool,DISALLOW_DOCTYPE,NAMESPACE_GROWTH,VALIDATE_ANNOTATIONS,SYMBOL_TABLE,XMLGRAMMAR_POOL,fErrorReporter,SECURITY_MANAGER,ERROR_REPORTER,fAnnotationValidator,ENTITY_RESOLVER,ENTITY_MANAGER,ERROR_HANDLER,HONOUR_ALL_SCHEMALOCATIONS,LOCALE,TOLERATE_DUPLICATES,CONTINUE_AFTER_FATAL_ERROR,ALLOW_JAVA_ENCODINGS,fHiddenNodes,fRoot,doc2SystemId,setSchemasVisible,fAttributeTraverser,fComplexTypeTraverser,fAttributeChecker,fNotationTraverser,fAttributeGroupTraverser,fUniqueOrKeyTraverser,fElementTraverser,fGroupTraverser,fWildCardTraverser,fSimpleTypeTraverser,fKeyrefTraverser,element2Locator,containedImportedGrammar,getGlobalTypeDecl,getGlobalNotationDecl,getGlobalElementDecl,fKeyrefElems,fKeyrefNamespaceContext,fKeyrefsMapXSDocumentInfo,fUnparsedIdentityConstraintRegistry,fKeyrefStackPos,fKeyrefs,fUnparsedIdentityConstraintRegistrySub,IDENTITYCONSTRAINT_TYPE,INC_KEYREF_STACK_AMOUNT,checkForDuplicateNames,removeParticle,fAllContext,fLocalElemStackPos,INC_STACK_SIZE,fParticle,fLocalElemNamespaceContext,fLocalElementDecl_schema,fParent,fLocalElementDecl,XMLSCHEMA_VALIDATION,fGrammarBucketAdapter,VALIDATION,updateImportDependencies,addGlobalComponent,expandRelatedAttributeUsesComponents,emptyString2Null,resolveKeyRefs,prepareForTraverse,constructTrees,getSchemaDocument,buildGlobalNameRegistries,traverseSchemas,isExistingGrammar,validateAnnotations,prepareForParse,traverseLocalElements,addRelatedType,systemId,expandRelatedTypeComponents,fReportedTNS,addGlobalElementDecl,addGlobalNotationDecl,xl,TYPEDECL_TYPE,DEBUG_NODE_POOL,CIRCULAR_CODES,COMP_TYPE,getGlobalDeclFromGrammar,traverseGlobalDecl,findXSDocumentForDecl,needReportTNSError,getGlobalDecl,fUnparsedElementRegistry,fUnparsedNotationRegistrySub,fUnparsedTypeRegistrySub,GROUP_TYPE,ATTRIBUTE_TYPE,REDEF_IDENTIFIER,fUnparsedAttributeGroupRegistrySub,fUnparsedAttributeRegistry,fUnparsedNotationRegistry,fUnparsedGroupRegistrySub,fUnparsedElementRegistrySub,ATTRIBUTEGROUP_TYPE,fUnparsedTypeRegistry,fUnparsedGroupRegistry,ELEMENT_TYPE,fUnparsedAttributeRegistrySub,NOTATION_TYPE,fUnparsedAttributeGroupRegistry,renameRedefiningComponents,getIDConstraintDecl,getGlobalAttributeGroupDecl,findQName,changeRedefineGroup,addGlobalAttributeGroupDecls,addGlobalTypeDecls,addGlobalNotationDecls,addGlobalElementDecls,addGlobalAttributeDecls,addGlobalGroupDecls,expandImportList,NAMESPACE_PREFIXES,fXSContentHandler,STRING_INTERNING,createXMLParseException0,createXNIException0,addGrammarComponents,updateImportListFor,updateImportListWith,expandRelatedAttributeUseComponents,expandRelatedElementComponents,fUnparsedRegistriesExt,canAddComponent,addRelatedAttribute,getSchemaGrammar,addGlobalAttributeGroupDecl,addGlobalTypeDecl,clear,createTraversers,retrieveGrammar,fDeclPool,expandRelatedComponents,addNewGrammarComponents,addNewImportedGrammars,addNewGrammarLocations,fDVFactory,fSchemaGrammarDescription,NS_ERROR_CODES,ELE_ERROR_CODES,resolveSchemaSource,resolveSchema,nonAnnotationContent,expandRelatedAttributeGroupComponents,expandRelatedModelGroupDefinitionComponents,createAnnotationValidator,refreshGrammars
10,resolveSchemaSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,hashCode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,emptyString2Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,addGlobalAttributeDecls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,retrieveGrammar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,expandRelatedTypeComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,refreshGrammars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,addGlobalGroupDecls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,lockPool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,getGlobalAttributeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,nonAnnotationContent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,expandRelatedParticleComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
